;;;;;;1213;RAPPORT DATA;;
Code;Conducteur;Famille;Type;Marque;Telephone;Immat;Heure de départ;Heure d'arrêt;Durée;Chantier;CAA;KM;Carburant Depart;Carburant Arrêt;Consomation Carburant
V048;;;;;;;22/12/2025 00:00;08:05;8:04:48;Hors Chantier;Arrêt;0,0 ;;;
C077;;;;;;;22/12/2025 00:00;07:56;7:55:47;Hors Chantier;Arrêt;0,0 ;;;
C085;;;;;;;22/12/2025 00:00;07:56;7:56:01;Hors Chantier;Arrêt;0,0 ;;;
PK35;;;;;;;22/12/2025 00:00;07:07;7:06:51;Hors Chantier;Arrêt;0,0 ;;;
PK35;;;;;;;22/12/2025 00:00;07:07;7:06:51;Hors Chantier;Arrêt;0,0 ;;;
PK35;;;;;;;22/12/2025 00:00;07:07;7:06:51;Hors Chantier;Arrêt;0,0 ;;;
V041;;;;;;;22/12/2025 00:00;07:27;7:27:00;Hors Chantier;Arrêt;0,0 ;;;
C078;;;;;;;22/12/2025 00:00;06:57;6:57:00;Hors Chantier;Arrêt;0,0 ;;;
PK24;;;;;;;22/12/2025 00:00;07:01;7:00:39;Hors Chantier;Arrêt;0,0 ;;;
C107;;;;;;;22/12/2025 00:00;07:35;7:34:59;Hors Chantier;Arrêt;0,0 ;;;
PK25;;;;;;;22/12/2025 00:00;06:19;6:19:00;Hors Chantier;Arrêt;0,0 ;;;
C110;;;;;;;22/12/2025 00:00;08:17;8:16:36;Hors Chantier;Arrêt;0,0 ;;;
C110;;;;;;;22/12/2025 00:00;08:17;8:16:36;Hors Chantier;Arrêt;0,0 ;;;
C110;;;;;;;22/12/2025 00:00;08:17;8:16:36;Hors Chantier;Arrêt;0,0 ;;;
C105;;;;;;;22/12/2025 00:00;07:23;7:22:31;Hors Chantier;Arrêt;0,0 ;;;
C097;;;;;;;22/12/2025 00:00;07:53;7:52:34;Hors Chantier;Arrêt;0,0 ;;;
C060;;;;;;;22/12/2025 00:00;08:24;8:24:00;Hors Chantier;Arrêt;0,0 ;;;
C103;;;;;;;22/12/2025 00:00;07:27;7:27:00;Hors Chantier;Arrêt;0,0 ;;;
C025;;;;;;;22/12/2025 00:00;07:41;7:40:53;Hors Chantier;Arrêt;0,0 ;;;
C112;;;;;;;22/12/2025 00:00;08:17;8:17:08;Hors Chantier;Arrêt;0,0 ;;;
C112;;;;;;;22/12/2025 00:00;08:17;8:17:08;Hors Chantier;Arrêt;0,0 ;;;
C112;;;;;;;22/12/2025 00:00;08:17;8:17:08;Hors Chantier;Arrêt;0,0 ;;;
C063;;;;;;;22/12/2025 00:00;23:59;23:59:00;Hors Chantier;Arrêt;0,0 ;;;
CP022;;;;;;;22/12/2025 00:00;08:18;8:17:58;Hors Chantier;Arrêt;0,0 ;;;
C043;;;;;;;22/12/2025 00:00;05:16;5:15:22;Hors Chantier;Arrêt;0,0 ;;;
C096;;;;;;;22/12/2025 00:00;07:40;7:40:00;Hors Chantier;Arrêt;0,0 ;;;
C101;;;;;;;22/12/2025 00:00;07:46;7:46:00;Hors Chantier;Arrêt;0,0 ;;;
C098;;;;;;;22/12/2025 00:00;07:35;7:35:00;Hors Chantier;Arrêt;0,0 ;;;
C028;;;;;;;22/12/2025 00:00;08:54;8:54:00;Hors Chantier;Arrêt;0,0 ;;;
V061;;;;;;;22/12/2025 00:00;09:23;9:23:00;Hors Chantier;Arrêt;0,0 ;;;
C106;;;;;;;22/12/2025 00:00;08:23;8:22:31;Hors Chantier;Arrêt;0,0 ;;;
C106;;;;;;;22/12/2025 00:00;08:23;8:22:31;Hors Chantier;Arrêt;0,0 ;;;
C106;;;;;;;22/12/2025 00:00;08:23;8:22:31;Hors Chantier;Arrêt;0,0 ;;;
V063;;;;;;;22/12/2025 00:00;07:57;7:56:30;Hors Chantier;Arrêt;0,0 ;;;
C104;;;;;;;22/12/2025 00:00;07:46;7:45:59;Hors Chantier;Arrêt;0,0 ;;;
V071;;;;;;;22/12/2025 00:00;08:38;8:38:00;Hors Chantier;Arrêt;0,0 ;;;
V006;;;;;;;22/12/2025 00:00;07:40;7:39:36;Hors Chantier;Arrêt;0,0 ;;;
PK34;;;;;;;22/12/2025 00:01;07:46;7:45:15;Hors Chantier;Arrêt;0,0 ;;;
PK34;;;;;;;22/12/2025 00:01;07:46;7:45:15;Hors Chantier;Arrêt;0,0 ;;;
PK34;;;;;;;22/12/2025 00:01;07:46;7:45:15;Hors Chantier;Arrêt;0,0 ;;;
V079WW;;;;;;;22/12/2025 00:01;08:09;8:08:17;Hors Chantier;Arrêt;0,0 ;;;
V059;;;;;;;22/12/2025 00:01;08:16;8:15:20;Hors Chantier;Arrêt;0,0 ;;;
C109;;;;;;;22/12/2025 00:01;09:37;9:36:34;Hors Chantier;Arrêt;0,0 ;;;
C109;;;;;;;22/12/2025 00:01;09:37;9:36:34;Hors Chantier;Arrêt;0,0 ;;;
C109;;;;;;;22/12/2025 00:01;09:37;9:36:34;Hors Chantier;Arrêt;0,0 ;;;
CH10;;;;;;;22/12/2025 00:01;07:40;7:39:08;Hors Chantier;Arrêt;0,0 ;;;
CH10;;;;;;;22/12/2025 00:01;07:40;7:39:08;Hors Chantier;Arrêt;0,0 ;;;
CH10;;;;;;;22/12/2025 00:01;07:40;7:39:08;Hors Chantier;Arrêt;0,0 ;;;
PL55;;;;;;;22/12/2025 00:01;08:50;8:48:35;Hors Chantier;Arrêt;0,0 ;;;
PL55;;;;;;;22/12/2025 00:01;08:50;8:48:35;Hors Chantier;Arrêt;0,0 ;;;
PL55;;;;;;;22/12/2025 00:01;08:50;8:48:35;Hors Chantier;Arrêt;0,0 ;;;
GM08;;;;;;;22/12/2025 00:01;08:56;8:54:13;Hors Chantier;Arrêt;0,0 ;;;
TR06;;;;;;;22/12/2025 00:02;08:04;8:02:03;Hors Chantier;Arrêt;0,0 ;;;
C121;;;;;;;22/12/2025 00:02;09:00;8:57:43;Hors Chantier;Arrêt;0,0 ;;;
C121;;;;;;;22/12/2025 00:02;09:00;8:57:43;Hors Chantier;Arrêt;0,0 ;;;
C121;;;;;;;22/12/2025 00:02;09:00;8:57:43;Hors Chantier;Arrêt;0,0 ;;;
PK28;;;;;;;22/12/2025 00:02;07:32;7:30:11;Hors Chantier;Arrêt;0,0 ;;;
PK28;;;;;;;22/12/2025 00:02;07:32;7:30:11;Hors Chantier;Arrêt;0,0 ;;;
PK28;;;;;;;22/12/2025 00:02;07:32;7:30:11;Hors Chantier;Arrêt;0,0 ;;;
C126;;;;;;;22/12/2025 00:03;08:45;8:42:53;Hors Chantier;Arrêt;0,0 ;;;
C111;;;;;;;22/12/2025 00:03;14:06;14:03:22;Hors Chantier;Arrêt;0,0 ;;;
C111;;;;;;;22/12/2025 00:03;14:06;14:03:22;Hors Chantier;Arrêt;0,0 ;;;
C111;;;;;;;22/12/2025 00:03;14:06;14:03:22;Hors Chantier;Arrêt;0,0 ;;;
FN01;;;;;;;22/12/2025 00:03;19:15;19:11:59;Hors Chantier;Arrêt;0,0 ;;;
C122;;;;;;;22/12/2025 00:03;07:30;7:26:54;Hors Chantier;Arrêt;0,0 ;;;
C113;;;;;;;22/12/2025 00:03;08:05;8:02:05;Hors Chantier;Arrêt;0,0 ;;;
C113;;;;;;;22/12/2025 00:03;08:05;8:02:05;Hors Chantier;Arrêt;0,0 ;;;
C113;;;;;;;22/12/2025 00:03;08:05;8:02:05;Hors Chantier;Arrêt;0,0 ;;;
C116;;;;;;;22/12/2025 00:03;07:45;7:42:10;Hors Chantier;Arrêt;0,0 ;;;
C116;;;;;;;22/12/2025 00:03;07:45;7:42:10;Hors Chantier;Arrêt;0,0 ;;;
C116;;;;;;;22/12/2025 00:03;07:45;7:42:10;Hors Chantier;Arrêt;0,0 ;;;
GM06;;;;;;;22/12/2025 00:04;23:56;23:52:48;Hors Chantier;Arrêt;0,0 ;;;
GM06;;;;;;;22/12/2025 00:04;23:56;23:52:48;Hors Chantier;Arrêt;0,0 ;;;
GM06;;;;;;;22/12/2025 00:04;23:56;23:52:48;Hors Chantier;Arrêt;0,0 ;;;
PK37WW;;;;;;;22/12/2025 00:04;08:07;8:03:11;Hors Chantier;Arrêt;0,0 ;;;
PL57;;;;;;;22/12/2025 00:04;23:56;23:52:08;Hors Chantier;Arrêt;0,0 ;;;
PL57;;;;;;;22/12/2025 00:04;23:56;23:52:08;Hors Chantier;Arrêt;0,0 ;;;
PL57;;;;;;;22/12/2025 00:04;23:56;23:52:08;Hors Chantier;Arrêt;0,0 ;;;
C120;;;;;;;22/12/2025 00:04;08:57;8:52:39;Hors Chantier;Arrêt;0,0 ;;;
C120;;;;;;;22/12/2025 00:04;08:57;8:52:39;Hors Chantier;Arrêt;0,0 ;;;
C120;;;;;;;22/12/2025 00:04;08:57;8:52:39;Hors Chantier;Arrêt;0,0 ;;;
V034;;;;;;;22/12/2025 00:04;08:44;8:40:00;Hors Chantier;Arrêt;0,0 ;;;
V074WW;;;;;;;22/12/2025 00:04;10:26;10:21:09;Hors Chantier;Attente;0,0 ;;;
C125;;;;;;;22/12/2025 00:05;23:56;23:51:10;Hors Chantier;Arrêt;0,0 ;;;
C029;;;;;;;22/12/2025 00:05;08:05;7:59:41;Hors Chantier;Arrêt;0,0 ;;;
V044;;;;;;;22/12/2025 00:06;08:50;8:44:12;Hors Chantier;Arrêt;0,0 ;;;
V029;;;;;;;22/12/2025 00:06;06:45;6:38:32;Hors Chantier;Arrêt;0,0 ;;;
C123;;;;;;;22/12/2025 00:06;07:39;7:33:06;Hors Chantier;Arrêt;0,0 ;;;
C124;;;;;;;22/12/2025 00:06;08:51;8:44:35;Hors Chantier;Arrêt;0,0 ;;;
C062;;;;;;;22/12/2025 00:06;23:56;23:50:00;Hors Chantier;Arrêt;0,0 ;;;
V025;;;;;;;22/12/2025 00:07;09:27;9:20:00;Hors Chantier;Arrêt;0,0 ;;;
V036;;;;;;;22/12/2025 00:07;07:44;7:36:25;Hors Chantier;Arrêt;0,0 ;;;
C071;;;;;;;22/12/2025 00:08;09:03;8:55:11;Hors Chantier;Arrêt;0,0 ;;;
C127;;;;;;;22/12/2025 00:08;07:52;7:44:07;Hors Chantier;Arrêt;0,0 ;;;
C108;;;;;;;22/12/2025 00:08;07:53;7:44:40;Hors Chantier;Arrêt;0,0 ;;;
PK36WW;;;;;;;22/12/2025 00:09;07:25;7:16:00;Hors Chantier;Arrêt;0,0 ;;;
PK31;;;;;;;22/12/2025 00:13;06:53;6:40:15;Hors Chantier;Arrêt;0,0 ;;;
PK31;;;;;;;22/12/2025 00:13;06:53;6:40:15;Hors Chantier;Arrêt;0,0 ;;;
PK31;;;;;;;22/12/2025 00:13;06:53;6:40:15;Hors Chantier;Arrêt;0,0 ;;;
V042 NV;;;;;;;22/12/2025 00:24;08:12;7:47:39;Hors Chantier;Arrêt;0,0 ;;;
V042 NV;;;;;;;22/12/2025 00:24;08:12;7:47:39;Hors Chantier;Arrêt;0,0 ;;;
V042 NV;;;;;;;22/12/2025 00:24;08:12;7:47:39;Hors Chantier;Arrêt;0,0 ;;;
V073;;;;;;;22/12/2025 00:26;00:26;0:00:15;Hors Chantier;Arrêt;0,0 ;;;
V073;;;;;;;22/12/2025 00:32;00:32;0:00:06;Hors Chantier;Attente;0,0 ;;;
V073;;;;;;;22/12/2025 00:32;00:35;0:02:29;Hors Chantier;Course;1,02 ;;;
V072;;;;;;;22/12/2025 00:32;00:32;0:00:05;Hors Chantier;Attente;0,0 ;;;
V072;;;;;;;22/12/2025 00:33;08:56;8:23:53;Hors Chantier;Attente;0,0 ;;;
V073;;;;;;;22/12/2025 00:35;00:36;0:01:04;Hors Chantier;Arrêt;0,0 ;;;
V073;;;;;;;22/12/2025 00:37;00:37;0:00:16;Hors Chantier;Attente;0,0 ;;;
V073;;;;;;;22/12/2025 00:37;00:40;0:03:16;Hors Chantier;Course;1,0 ;;;
V058;;;;;;;22/12/2025 00:39;08:02;7:23:18;Hors Chantier;Arrêt;0,0 ;;;
V058;;;;;;;22/12/2025 00:39;08:02;7:23:18;Hors Chantier;Arrêt;0,0 ;;;
V058;;;;;;;22/12/2025 00:39;08:02;7:23:18;Hors Chantier;Arrêt;0,0 ;;;
PK23;;;;;;;22/12/2025 00:41;08:15;7:34:27;Hors Chantier;Arrêt;0,0 ;;;
PK23;;;;;;;22/12/2025 00:41;08:15;7:34:27;Hors Chantier;Arrêt;0,0 ;;;
PK23;;;;;;;22/12/2025 00:41;08:15;7:34:27;Hors Chantier;Arrêt;0,0 ;;;
V073;;;;;;;22/12/2025 00:41;10:16;9:34:09;Hors Chantier;Attente;0,0 ;;;
V062;;;;;;;22/12/2025 00:42;00:49;0:07:21;Hors Chantier;Arrêt;0,0 ;;;
V062;;;;;;;22/12/2025 00:42;00:49;0:07:21;Hors Chantier;Arrêt;0,0 ;;;
V062;;;;;;;22/12/2025 00:42;00:49;0:07:21;Hors Chantier;Arrêt;0,0 ;;;
PK22;;;;;;;22/12/2025 00:46;07:30;6:43:53;Hors Chantier;Arrêt;0,0 ;;;
PK22;;;;;;;22/12/2025 00:46;07:30;6:43:53;Hors Chantier;Arrêt;0,0 ;;;
PK22;;;;;;;22/12/2025 00:46;07:30;6:43:53;Hors Chantier;Arrêt;0,0 ;;;
V062;;;;;;;22/12/2025 00:49;01:04;0:15:00;Hors Chantier;Course;8,55 ;;;
Hyundai SONATA V068;;;;;;;22/12/2025 01:00;08:08;7:07:55;Hors Chantier;Arrêt;0,0 ;;;
Hyundai SONATA V068;;;;;;;22/12/2025 01:00;08:08;7:07:55;Hors Chantier;Arrêt;0,0 ;;;
Hyundai SONATA V068;;;;;;;22/12/2025 01:00;08:08;7:07:55;Hors Chantier;Arrêt;0,0 ;;;
V062;;;;;;;22/12/2025 01:04;11:30;10:25:37;Hors Chantier;Arrêt;0,0 ;;;
V062;;;;;;;22/12/2025 01:04;11:30;10:25:37;Hors Chantier;Arrêt;0,0 ;;;
V062;;;;;;;22/12/2025 01:04;11:30;10:25:37;Hors Chantier;Arrêt;0,0 ;;;
PL69;;;;;;;22/12/2025 03:19;03:33;0:14:33;Hors Chantier;Attente;0,0 ;;;
PL69;;;;;;;22/12/2025 03:34;05:45;2:11:07;Hors Chantier;Arrêt;0,0 ;;;
C043;;;;;;;22/12/2025 05:16;05:30;0:14:24;Hors Chantier;Course;5,89 ;;;
C043;;;;;;;22/12/2025 05:30;05:37;0:06:51;Hors Chantier;Arrêt;0,0 ;;;
PL40;;;;;;;22/12/2025 05:34;09:18;3:44:53;Hors Chantier;Arrêt;0,0 ;;;
C043;;;;;;;22/12/2025 05:37;05:38;0:01:00;Hors Chantier;Course;0,1 ;;;
C043;;;;;;;22/12/2025 05:38;05:43;0:05:00;Hors Chantier;Arrêt;0,0 ;;;
C068;;;;;;;22/12/2025 05:39;06:05;0:25:30;Hors Chantier;Attente;0,0 ;;;
C043;;;;;;;22/12/2025 05:43;05:45;0:02:00;Hors Chantier;Course;0,1 ;;;
C043;;;;;;;22/12/2025 05:45;05:54;0:08:42;Hors Chantier;Arrêt;0,0 ;;;
C043;;;;;;;22/12/2025 05:54;05:58;0:03:55;Hors Chantier;Course;1,77 ;;;
PK13;;;;;;;22/12/2025 05:57;07:08;1:10:28;Hors Chantier;Course;54,69 ;;;
C043;;;;;;;22/12/2025 05:58;06:05;0:07:00;Hors Chantier;Arrêt;0,0 ;;;
C068;;;;;;;22/12/2025 06:05;06:22;0:17:16;Hors Chantier;Course;5,09 ;;;
C043;;;;;;;22/12/2025 06:05;06:15;0:10:36;Hors Chantier;Course;2,42 ;;;
C043;;;;;;;22/12/2025 06:15;06:18;0:03:00;Hors Chantier;Arrêt;0,0 ;;;
C043;;;;;;;22/12/2025 06:18;06:22;0:04:12;Hors Chantier;Course;1,13 ;;;
PK25;;;;;;;22/12/2025 06:20;07:34;1:14:00;Hors Chantier;Attente;0,0 ;;;
C068;;;;;;;22/12/2025 06:22;06:37;0:15:32;Hors Chantier;Attente;0,0 ;;;
C043;;;;;;;22/12/2025 06:22;06:26;0:03:52;Hors Chantier;Arrêt;0,0 ;;;
PL66;;;;;;;22/12/2025 06:25;06:25;0:00:10;Hors Chantier;Course;0,0 ;;;
PL41;;;;;;;22/12/2025 06:26;08:51;2:25:13;Hors Chantier;Arrêt;0,0 ;;;
C043;;;;;;;22/12/2025 06:26;06:29;0:02:39;Hors Chantier;Course;0,4 ;;;
C043;;;;;;;22/12/2025 06:29;06:47;0:18:17;Hors Chantier;Arrêt;0,0 ;;;
V040;;;;;;;22/12/2025 06:35;06:35;0:00:05;Hors Chantier;Course;0,0 ;;;
V040;;;;;;;22/12/2025 06:35;07:21;0:45:11;Hors Chantier;Arrêt;0,0 ;;;
V040;;;;;;;22/12/2025 06:35;07:21;0:45:11;Hors Chantier;Arrêt;0,0 ;;;
V040;;;;;;;22/12/2025 06:35;07:21;0:45:11;Hors Chantier;Arrêt;0,0 ;;;
C068;;;;;;;22/12/2025 06:37;06:42;0:04:52;Hors Chantier;Course;1,29 ;;;
C068;;;;;;;22/12/2025 06:42;07:04;0:22:00;Hors Chantier;Attente;0,0 ;;;
V029;;;;;;;22/12/2025 06:45;07:10;0:24:57;Hors Chantier;Attente;0,0 ;;;
PL68;;;;;;;22/12/2025 06:45;08:06;1:21:01;Hors Chantier;Arrêt;0,0 ;;;
C043;;;;;;;22/12/2025 06:47;06:59;0:11:35;Hors Chantier;Course;5,18 ;;;
PL54;;;;;;;22/12/2025 06:48;07:28;0:40:00;Hors Chantier;Arrêt;0,0 ;;;
C054;;;;;;;22/12/2025 06:48;06:53;0:05:02;Hors Chantier;Course;2,10 ;;;
PK31;;;;;;;22/12/2025 06:53;06:57;0:03:38;Hors Chantier;Course;1,08 ;;;
PK21;;;;;;;22/12/2025 06:54;06:58;0:04:00;Hors Chantier;Attente;0,0 ;;;
C054;;;;;;;22/12/2025 06:54;08:28;1:34:00;Hors Chantier;Attente;0,0 ;;;
PK31;;;;;;;22/12/2025 06:57;07:00;0:03:03;Hors Chantier;Arrêt;0,0 ;;;
PK31;;;;;;;22/12/2025 06:57;07:00;0:03:03;Hors Chantier;Arrêt;0,0 ;;;
PK31;;;;;;;22/12/2025 06:57;07:00;0:03:03;Hors Chantier;Arrêt;0,0 ;;;
C078;;;;;;;22/12/2025 06:58;07:12;0:14:07;Hors Chantier;Attente;0,0 ;;;
PK26;;;;;;;22/12/2025 06:58;07:00;0:01:25;Hors Chantier;Attente;0,0 ;;;
C043;;;;;;;22/12/2025 06:59;07:37;0:38:00;Hors Chantier;Arrêt;0,0 ;;;
PK26;;;;;;;22/12/2025 07:00;07:01;0:00:59;Hors Chantier;Course;0,1 ;;;
PK21;;;;;;;22/12/2025 07:00;07:00;0:00:30;Hors Chantier;Attente;0,0 ;;;
PK31;;;;;;;22/12/2025 07:00;07:03;0:02:45;Hors Chantier;Course;0,7 ;;;
PK21;;;;;;;22/12/2025 07:00;07:07;0:06:03;Hors Chantier;Course;0,9 ;;;
PK26;;;;;;;22/12/2025 07:01;07:03;0:02:40;Hors Chantier;Attente;0,0 ;;;
PK24;;;;;;;22/12/2025 07:01;08:02;1:00:59;Hors Chantier;Attente;0,0 ;;;
PK31;;;;;;;22/12/2025 07:03;07:09;0:06:25;Hors Chantier;Arrêt;0,0 ;;;
PK31;;;;;;;22/12/2025 07:03;07:09;0:06:25;Hors Chantier;Arrêt;0,0 ;;;
PK31;;;;;;;22/12/2025 07:03;07:09;0:06:25;Hors Chantier;Arrêt;0,0 ;;;
PK26;;;;;;;22/12/2025 07:03;07:07;0:03:57;Hors Chantier;Course;1,11 ;;;
C068;;;;;;;22/12/2025 07:04;07:26;0:21:46;Hors Chantier;Course;7,17 ;;;
PK21;;;;;;;22/12/2025 07:07;07:07;0:00:09;Hors Chantier;Attente;0,0 ;;;
PK35;;;;;;;22/12/2025 07:07;08:30;1:23:08;Hors Chantier;Course;45,94 ;;;
PK26;;;;;;;22/12/2025 07:07;07:13;0:05:28;Hors Chantier;Attente;0,0 ;;;
PK21;;;;;;;22/12/2025 07:08;07:21;0:13:00;Hors Chantier;Arrêt;0,0 ;;;
PK13;;;;;;;22/12/2025 07:08;07:23;0:14:49;Hors Chantier;Arrêt;0,0 ;;;
V054;;;;;;;22/12/2025 07:09;08:00;0:50:54;Hors Chantier;Course;53,60 ;;;
PK31;;;;;;;22/12/2025 07:09;07:27;0:18:09;Hors Chantier;Course;17,64 ;;;
V029;;;;;;;22/12/2025 07:10;07:35;0:25:19;Hors Chantier;Course;13,66 ;;;
V055;;;;;;;22/12/2025 07:10;08:17;1:07:17;Hors Chantier;Course;42,71 ;;;
PK26;;;;;;;22/12/2025 07:13;07:14;0:00:56;Hors Chantier;Course;0,1 ;;;
C078;;;;;;;22/12/2025 07:13;07:43;0:30:00;Hors Chantier;Arrêt;0,0 ;;;
PK26;;;;;;;22/12/2025 07:14;07:17;0:03:19;Hors Chantier;Attente;0,0 ;;;
C129;;;;;;;22/12/2025 07:16;07:16;0:00:17;Hors Chantier;Arrêt;0,0 ;;;
C129;;;;;;;22/12/2025 07:17;07:17;0:00:07;Hors Chantier;Attente;0,0 ;;;
PK26;;;;;;;22/12/2025 07:17;07:35;0:17:56;Hors Chantier;Course;13,84 ;;;
C129;;;;;;;22/12/2025 07:17;08:14;0:57:21;Hors Chantier;Attente;0,0 ;;;
V043;;;;;;;22/12/2025 07:18;07:18;0:00:11;Hors Chantier;Course;0,4 ;;;
V043;;;;;;;22/12/2025 07:18;07:35;0:16:42;Hors Chantier;Arrêt;0,0 ;;;
V043;;;;;;;22/12/2025 07:18;07:35;0:16:42;Hors Chantier;Arrêt;0,0 ;;;
V043;;;;;;;22/12/2025 07:18;07:35;0:16:42;Hors Chantier;Arrêt;0,0 ;;;
V040;;;;;;;22/12/2025 07:21;07:21;0:00:36;Hors Chantier;Course;0,2 ;;;
CH21;;;;;;;22/12/2025 07:21;07:23;0:01:30;Hors Chantier;Arrêt;0,0 ;;;
V040;;;;;;;22/12/2025 07:21;07:35;0:13:56;Hors Chantier;Arrêt;0,0 ;;;
V040;;;;;;;22/12/2025 07:21;07:35;0:13:56;Hors Chantier;Arrêt;0,0 ;;;
V040;;;;;;;22/12/2025 07:21;07:35;0:13:56;Hors Chantier;Arrêt;0,0 ;;;
PK21;;;;;;;22/12/2025 07:21;08:34;1:12:13;Hors Chantier;Course;64,94 ;;;
C105;;;;;;;22/12/2025 07:23;08:01;0:37:50;Hors Chantier;Attente;0,0 ;;;
PK13;;;;;;;22/12/2025 07:23;07:23;0:00:14;Hors Chantier;Attente;0,0 ;;;
PK13;;;;;;;22/12/2025 07:23;07:24;0:00:59;Hors Chantier;Course;0,1 ;;;
PK13;;;;;;;22/12/2025 07:24;07:27;0:03:09;Hors Chantier;Attente;0,0 ;;;
PK36WW;;;;;;;22/12/2025 07:25;07:28;0:02:20;Hors Chantier;Attente;0,0 ;;;
C068;;;;;;;22/12/2025 07:26;07:39;0:13:18;Hors Chantier;Attente;0,0 ;;;
PK13;;;;;;;22/12/2025 07:27;07:38;0:11:08;Hors Chantier;Course;5,09 ;;;
V041;;;;;;;22/12/2025 07:27;07:32;0:04:56;Hors Chantier;Attente;0,0 ;;;
PL69;;;;;;;22/12/2025 07:27;12:57;5:29:03;Hors Chantier;Attente;0,0 ;;;
PK31;;;;;;;22/12/2025 07:27;07:29;0:02:00;Hors Chantier;Arrêt;0,0 ;;;
PK31;;;;;;;22/12/2025 07:27;07:29;0:02:00;Hors Chantier;Arrêt;0,0 ;;;
PK31;;;;;;;22/12/2025 07:27;07:29;0:02:00;Hors Chantier;Arrêt;0,0 ;;;
PK36WW;;;;;;;22/12/2025 07:28;07:35;0:06:54;Hors Chantier;Course;1,18 ;;;
C103;;;;;;;22/12/2025 07:28;08:03;0:34:58;Hors Chantier;Attente;0,0 ;;;
PL59;;;;;;;22/12/2025 07:28;08:13;0:45:30;Hors Chantier;Arrêt;0,0 ;;;
